Time,Flow rate(ln/min)
0,0
0.2,0.0231
0.4,0.0337
0.6,0.0337
0.8,0.0525
1,0.0606
1.2,0.0606
1.4,0.0763
1.6,0.0763
1.8,0.0894
2,0.095
2.2,0.1006
2.4,0.1006
2.6,0.11
2.8,0.1144
3,0.1181
3.2,0.1219
3.4,0.1219
3.6,0.125
3.8,0.1306
4,0.1331
4.2,0.135
4.4,0.135
4.6,0.1388
4.8,0.1388
5,0.1406
5.2,0.1437
5.4,0.1437
5.6,0.1456
5.8,0.1469
6,0.1469
6.2,0.1481
6.4,0.1487
6.6,0.1494
6.8,0.15
7,0.15
7.2,0.15
7.4,0.15
7.6,0.1506
7.8,0.1512
8,0.1512
8.2,0.1512
8.4,0.1512
8.6,0.1512
8.8,0.1512
9,0.1512
9.2,0.1512
9.4,0.1512
9.6,0.1512
9.8,0.1512
10,0.1512
10.2,0.1512
10.4,0.1512
10.6,0.1512
10.8,0.1512
11,0.1506
11.2,0.1506
11.4,0.1506
11.6,0.15
11.8,0.15
12,0.1494
12.2,0.1494
12.4,0.1494
12.6,0.1487
12.8,0.1487
13,0.1487
13.2,0.1487
13.4,0.1487
13.6,0.1494
13.8,0.1494
14,0.1494
14.2,0.1494
14.4,0.1494
14.6,0.1494
14.8,0.1494
15,0.1494
15.2,0.1494
15.4,0.1494
15.6,0.1494
15.8,0.1494
16,0.1494
16.2,0.1487
16.4,0.1487
16.6,0.1487
16.8,0.1487
17,0.1481
17.2,0.1481
17.4,0.1481
17.6,0.1481
17.8,0.1475
18,0.1475
18.2,0.1469
18.4,0.1469
18.6,0.1469
18.8,0.1456
19,0.1444
19.2,0.1431
19.4,0.1431
19.6,0.14
19.8,0.1375
20,0.1356
20.2,0.1344
20.4,0.1331
20.6,0.1325
20.8,0.1325
21,0.1331
21.2,0.1356
21.4,0.1356
21.6,0.1444
21.8,0.1487
22,0.1525
22.2,0.1563
22.4,0.1563
22.6,0.1625
22.8,0.165
23,0.1675
23.2,0.17
23.4,0.17
23.6,0.1731
23.8,0.175
24,0.1756
24.2,0.1756
24.4,0.1769
24.6,0.1787
24.8,0.1794
25,0.18
25.2,0.18
25.4,0.18
25.6,0.1806
25.8,0.1806
26,0.1812
26.2,0.1812
26.4,0.1812
26.6,0.1806
26.8,0.1806
27,0.1806
27.2,0.18
27.4,0.18
27.6,0.18
27.8,0.1837
28,0.1931
28.2,0.2106
28.4,0.2106
28.6,0.255
28.8,0.2775
29,0.2981
29.2,0.3169
29.4,0.3169
29.6,0.3481
29.8,0.3606
30,0.3725
30.2,0.3825
30.4,0.3825
30.6,0.3981
30.8,0.4044
31,0.41
31.2,0.4144
31.4,0.4144
31.6,0.4219
31.8,0.4281
32,0.4281
32.2,0.43
32.4,0.4344
32.6,0.4356
32.8,0.4369
33,0.4381
33.2,0.4381
33.4,0.4394
33.6,0.44
33.8,0.4406
34,0.4412
34.2,0.4412
34.4,0.4412
34.6,0.4412
34.8,0.4412
35,0.4412
35.2,0.4406
35.4,0.4406
35.6,0.44
35.8,0.4394
36,0.4394
36.2,0.4387
36.4,0.4381
36.6,0.4375
36.8,0.4369
37,0.4369
37.2,0.435
37.4,0.4344
37.6,0.4338
37.8,0.4331
38,0.4331
38.2,0.4312
38.4,0.4306
38.6,0.43
38.8,0.4287
39,0.4287
39.2,0.4275
39.4,0.4262
39.6,0.4256
39.8,0.425
40,0.425
40.2,0.4231
40.4,0.4225
40.6,0.4212
40.8,0.4212
41,0.4206
41.2,0.4187
41.4,0.4175
41.6,0.4169
41.8,0.4162
42,0.4162
42.2,0.4144
42.4,0.4131
42.6,0.4131
42.8,0.4125
43,0.4112
43.2,0.4094
43.4,0.4087
43.6,0.4087
43.8,0.4075
44,0.4069
44.2,0.4044
44.4,0.4038
44.6,0.4025
44.8,0.4025
45,0.4006
45.2,0.4
45.4,0.3994
45.6,0.3981
45.8,0.3975
46,0.3962
46.2,0.395
46.4,0.3944
46.6,0.3931
46.8,0.3925
47,0.3925
47.2,0.3906
47.4,0.3894
47.6,0.3887
47.8,0.3875
48,0.3875
48.2,0.385
48.4,0.3837
48.6,0.3837
48.8,0.3819
49,0.3819
49.2,0.38
49.4,0.3787
49.6,0.3781
49.8,0.3775
50,0.3775
50.2,0.3769
50.4,0.3762
50.6,0.3756
50.8,0.3756
51,0.375
51.2,0.3744
51.4,0.3738
51.6,0.3731
51.8,0.3725
52,0.3719
52.2,0.3713
52.4,0.3706
52.6,0.37
52.8,0.3694
53,0.3681
53.2,0.3675
53.4,0.3669
53.6,0.3662
53.8,0.3656
54,0.365
54.2,0.3637
54.4,0.3631
54.6,0.3625
54.8,0.3619
55,0.3612
55.2,0.36
55.4,0.3594
55.6,0.3587
55.8,0.3581
56,0.3575
56.2,0.3562
56.4,0.3556
